Abkhazia,Sukhumi,Gali,Gagra,Gudauta,Gulripshi
Slovakia,Bratislava,,Košice,,
Slovenia,Ljubljana,,Maribor,,
Solomon Islands,Honiara,,Gizo,,
Somalia,Mogadishu,,Hargeisa,,
South Africa,Cape Town[Note 5],Cape Town[Note 5],Durban,,
South Georgia and the South Sandwich Islands,King Edward Point,,Grytviken,,
South Ossetia,Tskhinvali,,Akhalgori,,
South Sudan,Juba,,Yei,,
Spain,Madrid,,Barcelona,,
Sri Lanka,Sri Jayawardenepura Kotte,Colombo,Dehiwala-Mount Lavinia,,
Sudan,Khartoum,Omdurman,Khartoum,,
Suriname,Paramaribo,,Lelydorp,,
Svalbard and Jan Mayen (Norway),Longyearbyen,,Barentsburg,,
Swaziland,Mbabane,Manzini,Mbabane,,
Sweden,Stockholm,,Gothenburg,,
Switzerland,Bern,Zürich,Geneva,,
Syria,Damascus,Aleppo,Damascus,,
Tajikistan,Dushanbe,,Khujand,,
Tanzania,Dodoma,Dar es Salaam,Mwanza,,
Thailand,Bangkok,,Nonthaburi,,
Togo,Lomé,,Sokodé,,
Tokelau,None,Fakaofo,Atafu,,
Tonga,Nuku?alofa,,Neiafu,,
Transnistria,Tiraspol,,Tighina,,
Trinidad and Tobago,Port of Spain,Chaguanas,San Fernando,,
Tunisia,Tunis,,Sfax,,
Turkey,Ankara,Istanbul,Ankara,,
Turkmenistan,Ashgabat,,Türkmenabat,,
Turks and Caicos Islands,Cockburn Town,Five Cays,Honda Road,,
Tuvalu,Funafuti[Note 6],,Asau,,
Uganda,Kampala,,Gulu,,
Ukraine,Kyiv,,Kharkiv,,
United Arab Emirates,Abu Dhabi,Dubai,Abu Dhabi,,
United Kingdom,London,,Birmingham (city proper and metropolitan area),,
United States of America,Washington D.C.,New York City,Los Angeles,,
Uruguay,Montevideo,,Ciudad de la Costa,,
Uzbekistan,Tashkent,,Namangan,,
Vanuatu,Port Vila,,Luganville,,
Vatican City,Vatican City,,,,
Venezuela,Caracas,,Maracaibo,,
Vietnam,Hanoi,Ho Chi Minh City,Hanoi,,
Virgin Islands British,Road Town,,Spanish Town,,
Virgin Islands United States,Charlotte Amalie,,Anna's Retreat,,
Wallis and Futuna,Mata-Utu,,Alele,,
Western Sahara (Morocco),Laayoune,,Dakhla,,
Yemen,Sana'a,,Aden,,
Zambia,Lusaka,,Kitwe,,
Zimbabwe,Harare,,Bulawayo,,
